"Machalen, Belgium","De Kleetlaan 5, 1831 Machalen (Diegem), Belgium",Europe,50.888888,4.449851,SYNH
"Madrid, Spain","Floor 3/2, Calle Hernani 59, 28020, Madrid, Spain 28020",Europe,40.448284,-3.703495,SYNH
"Madrid, Spain","C/Rosa De Lima 1 BIS, Edificio Alba, 2a planta Las Matas, Madrid, Spain 28290",Europe,40.553054,-3.898982,SYNH
"Milan, Italy","Via Gonzaga 7, Milan, Italy 201123",Europe,45.461285,9.189124,SYNH
"Moscow, Russia","Letnikovskaya Street 2, Building 1 , Business Center Vivaldi Plaza, Floor 10, Moscow, Russia 115114",Europe,55.728826,37.643379,SYNH
"Moscow, Russia","Turchaninov Pereulok House 6, Building 2 Moscow, Russia 119034",Europe,55.736715,37.597499,SYNH
"Mouen, France","60 rue de l'ormelet, Mouen, France 14790",Europe,49.15249,-0.478179,SYNH
"Munich, Germany","Stefan George Ring 6, Munich, Germany 81929 ",Europe,48.140798,11.649601,SYNH
"Neu-Isenburg, Germany","Frankfurter StraBe 233 Triforum, Haus C1, Neu-Isenburg, Germany 63263",Europe,50.042621,8.693518,SYNH
"Nice, France","Bioparc 2400 route des Colles, 06410 Biot, Sophia-Antipolis, France",Europe,48.140798,11.649601,SYNH
"Paris, France","41/45 Boulevard Romain Rolland, 92120 Montrouge",Europe,48.820072,2.323302,SYNH
"Prague, Czech Republic","Lomnickeho 1705/9, 14000 Praha-Nusle, Czech Republic",Europe,50.057089,14.432849,SYNH
"Saronno, Italy","Vicolo del Caldo, 36, 21047 Saronno (VA) Italy",Europe,45.626876,9.037358,SYNH
"Sofia, Bulgaria","38-40, Ossogovo Street, Crystal Business Center, 9th Floor, 1303 Sofia, Bulgaria",Europe,42.699733,23.308202,SYNH
"St. Petersburg, Russia","2B Alexander Nevsky Square, 14th Floor, #17N St. Petersburg, Russia",Europe,59.92092,30.387851,SYNH
"Stockholm, Sweden","Hälsingegatan 40, 14th Floor, 113 43 Stockholm, Sweden",Europe,59.347433,18.038055,SYNH
"Uppsala, Sweden","Bredgrand 4, 3 Tr., 753 20 Uppsala, Sweden",Europe,59.857365,17.640566,SYNH
"Vrilissia, Greece","Ethnikis Antistaseos St., 28 3rd Floor, 15235 Vrilissia, Greece",Europe,38.035592,23.826857,SYNH
"Warsaw, Poland","Spark B building, 1st Floor, Al. Solidarności 171, 00-877 Warsaw",Europe,52.235675,20.979481,SYNH
"Wiesbaden, Germany","Mainzer Straße 75, 1st Floor, 65189 Wiesbaden, Germany",Europe,50.067519,8.248837,SYNH
"Adelaide, Australia","159 Port Road, Hindmarsh, Australia SA 5007",Asia Pacific,-34.905135,138.572945,SYNH
"Auckland, New Zealand","Unit G1, 14 22 Triton Drive, Rosedale Auckland 0632, New Zealand",Asia Pacific,-36.740982,174.723773,SYNH
